game_id,date,honest_home_prob,honest_pick,actual,honest_correct,home_rest_penalty,away_rest_penalty
20251230_26_2,20251230,0.25781910911941475,away,away,True,0.0,-15.0
20251230_12_23,20251230,0.75,home,home,True,-15.0,-15.0
20251231_15_27,20251231,0.9,home,away,False,-15.0,-15.0
20251231_25_22,20251231,0.9,home,home,True,-15.0,-15.0
20251231_28_7,20251231,0.2799999999999999,away,away,True,-15.0,-15.0
20251231_1_16,20251231,0.2870575200406065,away,home,False,-15.0,-15.0
20251231_24_18,20251231,0.55,home,home,True,-15.0,-15.0
20251231_11_19,20251231,0.55,home,away,False,-15.0,-15.0
20251231_4_3,20251231,0.744401182736224,home,home,True,-15.0,-15.0
20251231_30_9,20251231,0.25571904795040656,away,away,True,-15.0,-15.0
20251231_5_21,20251231,0.8148636012550133,home,home,True,-15.0,-15.0
20260101_6_20,20260101,0.55,home,away,False,0.0,-15.0
20260101_23_2,20260101,0.26458706587230063,away,away,True,-15.0,-15.0
20260101_12_26,20260101,0.9,home,home,True,-15.0,-15.0
20260101_17_10,20260101,0.2491523551425434,away,away,True,0.0,0.0
20260101_8_14,20260101,0.7326736692932652,home,away,False,-15.0,0.0
20260102_13_29,20260102,0.75,home,home,True,0.0,0.0
20260102_9_25,20260102,0.41426336760422033,away,away,True,-15.0,-15.0
20260102_27_17,20260102,0.7195411387023684,home,home,True,-15.0,-46.0
20260102_3_22,20260102,0.40495907327180736,away,away,True,-15.0,-15.0
20260102_18_1,20260102,0.8487869445690306,home,away,False,-15.0,-15.0
20260102_11_24,20260102,0.40101124755840567,away,away,True,-15.0,-15.0
20260102_5_7,20260102,0.45271616713985763,away,home,False,-15.0,-15.0
20260102_4_19,20260102,0.5151804950243575,home,home,True,-15.0,-15.0
20260102_15_30,20260102,0.9,home,home,True,-15.0,-15.0
20260102_21_23,20260102,0.8222714684529443,home,home,True,-15.0,-46.0
20260103_28_1,20260103,0.65,home,home,True,0.0,-46.0
20260103_12_2,20260103,0.4744761874977983,away,away,True,-15.0,-15.0
20260103_6_10,20260103,0.25111469041095835,away,home,False,-15.0,-15.0
20260103_18_20,20260103,0.7840203846134031,home,away,False,-46.0,-15.0
20260103_24_22,20260103,0.8328736823018458,home,away,False,-46.0,-46.0
20260103_14_16,20260103,0.44622783028904345,away,away,True,-15.0,0.0
20260103_9_26,20260103,0.9,home,home,True,-46.0,-15.0
20260103_4_30,20260103,0.65,home,away,False,-46.0,-46.0
20260104_23_15,20260104,0.31303335557794787,away,away,True,-15.0,-15.0
20260104_13_29,20260104,0.7904522903530561,home,home,True,-15.0,-15.0
20260104_5_8,20260104,0.8168076907707665,home,away,False,-15.0,0.0
20260104_17_7,20260104,0.2799999999999999,away,home,False,-15.0,-15.0
20260104_27_16,20260104,0.3881951753472178,away,away,True,-15.0,-46.0
20260104_14_3,20260104,0.8318203541857411,home,home,True,-46.0,-15.0
20260104_19_11,20260104,0.55,home,home,True,-15.0,-15.0
20260104_21_25,20260104,0.2799999999999999,away,home,False,-15.0,-15.0
20260105_10_21,20260105,0.7451035090745505,home,home,True,-15.0,-46.0
20260105_25_30,20260105,0.9,home,away,False,-46.0,-15.0
20260105_20_7,20260105,0.2799999999999999,away,away,True,-15.0,-46.0
20260105_8_18,20260105,0.5173479003435759,home,home,True,-46.0,-15.0
20260105_22_26,20260105,0.7915860670348042,home,home,True,-15.0,-15.0
20260105_28_1,20260105,0.65,home,home,True,-15.0,-15.0
20260105_2_4,20260105,0.9,home,home,True,-15.0,-15.0
20260105_12_9,20260105,0.5509315423094898,home,home,True,-15.0,-15.0
20260106_3_13,20260106,0.18699448886087422,away,away,True,-15.0,-15.0
20260106_29_24,20260106,0.34781861244432577,away,home,False,-15.0,0.0
20260106_27_19,20260106,0.42590561096745494,away,home,False,-15.0,-15.0
20260106_16_14,20260106,0.7952253410162918,home,home,True,-15.0,-15.0
20260106_11_5,20260106,0.3731283259476563,away,away,True,-15.0,-15.0
20260106_23_6,20260106,0.4204916068779241,away,away,True,-15.0,0.0
20260107_24_13,20260107,0.48657904734702595,away,home,False,-46.0,-46.0
20260107_17_19,20260107,0.4125677118082247,away,away,True,0.0,-46.0
20260107_8_4,20260107,0.8544776218250479,home,home,True,-15.0,-15.0
20260107_30_28,20260107,0.42738280841997023,away,away,True,-15.0,-15.0
20260107_18_12,20260107,0.55,home,home,True,-15.0,-15.0
20260107_9_15,20260107,0.5781869073383261,home,home,True,-15.0,0.0
20260107_25_26,20260107,0.9,home,home,True,-15.0,-15.0
20260107_29_21,20260107,0.40715953420855555,away,away,True,-46.0,-15.0
20260107_2_7,20260107,0.551028283625834,home,away,False,-15.0,-15.0
20260107_1_3,20260107,0.8254098867659109,home,home,True,-15.0,-46.0
20260107_22_10,20260107,0.3283692739739106,away,home,False,-15.0,-15.0
20260107_20_27,20260107,0.7268636638597067,home,home,True,-15.0,-46.0
20260108_26_6,20260108,0.32855183781347097,away,home,False,-46.0,-15.0
20260108_16_5,20260108,0.55,home,home,True,-15.0,-15.0
20260108_30_11,20260108,0.5125889128965422,home,away,False,-46.0,-15.0
20260109_13_15,20260109,0.5605458497050092,home,away,False,-15.0,-15.0
20260109_7_1,20260109,0.9,home,away,False,-15.0,-15.0
20260109_29_25,20260109,0.2799999999999999,away,away,True,-15.0,-15.0
20260109_19_20,20260109,0.539451692210389,home,away,False,-15.0,-15.0
20260109_27_3,20260109,0.7812355616527241,home,away,False,-15.0,-15.0
20260109_22_10,20260109,0.3695923468325364,away,home,False,-15.0,-15.0
20260109_2_28,20260109,0.9,home,home,True,-15.0,-15.0
20260109_21_18,20260109,0.55,home,home,True,-15.0,-15.0
20260109_17_12,20260109,0.4001576355145966,away,away,True,-15.0,-15.0
20260109_9_23,20260109,0.9,home,home,True,-15.0,0.0
20260110_4_6,20260110,0.55,home,home,True,0.0,-15.0
20260110_5_16,20260110,0.55,home,home,True,-15.0,-15.0
20260110_8_12,20260110,0.8143518887551048,home,away,False,0.0,-46.0
20260110_26_30,20260110,0.5174778116469576,home,away,False,-15.0,-15.0
20260110_11_14,20260110,0.55,home,home,True,-15.0,0.0
20260110_2_24,20260110,0.7979712859976232,home,away,False,-46.0,0.0
20260111_28_20,20260111,0.5370685310127179,home,home,True,-15.0,-15.0
20260111_19_3,20260111,0.7997517260238112,home,home,True,-15.0,-15.0
20260111_25_14,20260111,0.9,home,home,True,-15.0,-46.0
20260111_7_15,20260111,0.8222436347796549,home,home,True,-15.0,-15.0
20260111_16_24,20260111,0.7252067785738232,home,home,True,-46.0,-46.0
20260111_9_1,20260111,0.844916074437986,home,away,False,-15.0,-15.0
20260111_21_27,20260111,0.8521912938218839,home,home,True,-15.0,-15.0
20260111_23_10,20260111,0.2160608453300379,away,home,False,-15.0,-15.0
20260111_22_18,20260111,0.5343827173223206,home,away,False,-15.0,-15.0
20260111_29_17,20260111,0.7339979646217593,home,home,True,-15.0,-15.0
20260112_5_26,20260112,0.9,home,away,False,-15.0,-15.0
20260112_23_13,20260112,0.2491267955720562,away,home,False,-46.0,0.0
20260112_28_20,20260112,0.55,home,away,False,-46.0,-46.0
20260112_6_17,20260112,0.75,home,home,True,-15.0,-46.0
20260112_11_2,20260112,0.3714203339583564,away,home,False,-15.0,-15.0
20260112_12_30,20260112,0.55,home,home,True,-15.0,-15.0
20260301_18_24,20260301,0.4388427859102072,away,home,False,-15.0,0.0
20260301_17_5,20260301,0.2799999999999999,away,away,True,-15.0,-15.0
20260301_4_15,20260301,0.29664771730046224,away,home,False,0.0,-15.0
20260301_7_16,20260301,0.9,home,away,False,-15.0,0.0
20260301_11_29,20260301,0.65,home,away,False,0.0,-15.0
20260301_1_22,20260301,0.7202187624711786,home,home,True,0.0,-46.0
20260301_2_20,20260301,0.8952872649361527,home,home,True,-15.0,0.0
20260301_19_8,20260301,0.39870680310970175,away,away,True,0.0,-15.0
20260301_6_25,20260301,0.2799999999999999,away,away,True,-15.0,-15.0
20260301_12_3,20260301,0.8146609424252818,home,home,True,0.0,-46.0
20260301_13_23,20260301,0.8770700933188036,home,home,True,-46.0,0.0
20260302_27_10,20260302,0.1892992795187184,away,away,True,-15.0,-15.0
20260302_15_2,20260302,0.3944188314179943,away,away,True,-46.0,-46.0
20260302_26_7,20260302,0.2799999999999999,away,away,True,-15.0,-46.0
20260302_9_12,20260302,0.7265105912466171,home,away,False,-15.0,-46.0
20260303_30_6,20260303,0.8473236215971228,home,home,True,0.0,-15.0
20260303_5_8,20260303,0.75,home,home,True,-15.0,-15.0
20260303_19_27,20260303,0.8171485887639491,home,home,True,-15.0,-46.0
20260303_14_17,20260303,0.9,home,home,True,0.0,-15.0
20260303_28_18,20260303,0.47904172117477484,away,away,True,0.0,-15.0
20260303_20_24,20260303,0.390109020956098,away,away,True,-15.0,-15.0
20260303_4_25,20260303,0.2799999999999999,away,away,True,-15.0,-15.0
20260303_16_29,20260303,0.885496712392895,home,home,True,-15.0,-15.0
20260303_13_3,20260303,0.8973677765155125,home,home,True,-15.0,-15.0
20260303_23_21,20260303,0.4765430899140306,away,away,True,-15.0,0.0
20260304_18_25,20260304,0.4492294980900551,away,away,True,-46.0,-46.0
20260304_2_30,20260304,0.8719881878568633,home,away,False,-15.0,-46.0
20260304_20_26,20260304,0.856934402348645,home,home,True,-46.0,-15.0
20260304_29_22,20260304,0.45901944457271115,away,away,True,-46.0,0.0
20260304_15_1,20260304,0.65,home,away,False,-15.0,0.0
20260304_12_11,20260304,0.788623745870966,home,home,True,-15.0,0.0
20260305_19_6,20260305,0.75,home,home,True,-15.0,-15.0
20260305_27_26,20260305,0.65,home,away,False,-15.0,-46.0
20260305_14_17,20260305,0.9,home,home,True,-15.0,-15.0
20260305_10_9,20260305,0.55,home,away,False,0.0,0.0
20260305_16_28,20260305,0.7847008892685867,home,home,True,-15.0,-15.0
20260305_24_8,20260305,0.65,home,home,True,-15.0,-15.0
20260305_21_4,20260305,0.75,home,away,False,-15.0,-15.0
20260305_7_13,20260305,0.854035486458822,home,home,True,0.0,-15.0
20260305_23_3,20260305,0.55,home,away,False,-15.0,-15.0
20260306_2_6,20260306,0.9,home,home,True,-15.0,-46.0
20260306_30_14,20260306,0.7827743100958638,home,away,False,-15.0,-46.0
20260306_10_22,20260306,0.7767671315447725,home,home,True,-46.0,-15.0
20260306_7_18,20260306,0.8405220731689255,home,away,False,-46.0,-15.0
20260306_21_3,20260306,0.7246423791956345,home,home,True,-46.0,-46.0
20260306_24_12,20260306,0.65,home,home,True,-46.0,-15.0
20260306_13_11,20260306,0.8932100785775838,home,home,True,-46.0,-15.0
20260307_16_19,20260307,0.8604022636857069,home,away,False,-15.0,-15.0
20260307_8_17,20260307,0.9,home,away,False,-15.0,-15.0
20260307_1_20,20260307,0.75,home,home,True,0.0,0.0
20260307_29_12,20260307,0.4651400670358423,away,away,True,0.0,-46.0
20260307_15_26,20260307,0.9,home,home,True,0.0,-15.0
20260307_25_9,20260307,0.9,home,home,True,0.0,-15.0
20260308_21_30,20260308,0.5226735943184514,home,home,True,-15.0,-15.0
20260308_22_11,20260308,0.65,home,home,True,-15.0,-15.0
20260308_3_27,20260308,0.65,home,home,True,-15.0,0.0
20260308_28_6,20260308,0.8142253352150188,home,home,True,0.0,-15.0
20260308_24_10,20260308,0.744231964441379,home,home,True,-15.0,-15.0
20260308_5_2,20260308,0.5485859382491961,home,away,False,0.0,-15.0
20260308_13_18,20260308,0.5017205065272023,home,home,True,-15.0,-15.0
20260308_14_8,20260308,0.55,home,home,True,-15.0,-46.0
20260308_15_19,20260308,0.7204561532689346,home,away,False,-46.0,-46.0
20260308_23_4,20260308,0.5408659795125245,home,home,True,0.0,0.0
20260309_5_20,20260309,0.8994755538980801,home,home,True,-46.0,-15.0
20260309_17_29,20260309,0.3195797291314564,away,home,False,-15.0,-15.0
20260309_25_7,20260309,0.55,home,home,True,-15.0,0.0
20260309_26_9,20260309,0.2776435983397081,away,home,False,-15.0,-15.0
20260309_12_18,20260309,0.551316063063664,home,home,True,-15.0,-46.0
20260310_20_29,20260310,0.65,home,home,True,-46.0,-46.0
20260310_17_8,20260310,0.18967545106272388,away,away,True,-46.0,-15.0
20260310_14_27,20260310,0.9,home,home,True,-15.0,-15.0
20260310_1_6,20260310,0.9,home,home,True,0.0,-15.0
20260310_10_28,20260310,0.65,home,home,True,-15.0,-15.0
20260310_15_21,20260310,0.65,home,away,False,-15.0,-15.0
20260310_24_2,20260310,0.5442699186729612,home,home,True,-15.0,-15.0
20260310_9_4,20260310,0.8083810356839809,home,away,False,-46.0,-15.0
20260310_22_30,20260310,0.5287838659392237,home,away,False,-15.0,-15.0
20260310_23_11,20260310,0.55,home,home,True,-15.0,-15.0
20260310_13_16,20260310,0.65,home,home,True,-15.0,0.0
20260311_26_18,20260311,0.2740983487493728,away,away,True,-15.0,-15.0
20260311_3_28,20260311,0.5034050285260842,home,home,True,0.0,-46.0
20260311_12_16,20260311,0.55,home,home,True,-15.0,-46.0
20260311_23_30,20260311,0.4607066237254066,away,away,True,-46.0,-46.0
