season,team_id,team_name,delta,source
2018,16,Minnesota Timberwolves,12.68,history
2018,17,Brooklyn Nets,-11.66,history
2018,18,New York Knicks,-1.5,history
2018,19,Orlando Magic,3.1,history
2018,20,Philadelphia 76ers,33.86,history
2018,21,Phoenix Suns,-10.3,history
2018,22,Portland Trail Blazers,-20.1,history
2018,23,Sacramento Kings,2.9,history
2018,24,San Antonio Spurs,-78.55,history
2018,25,Oklahoma City Thunder,-92.08,history
2018,26,Utah Jazz,27.07,history
2018,27,Washington Wizards,-50.63,history
2018,28,Toronto Raptors,27.46,history
2018,29,Memphis Grizzlies,8.39,history
2018,30,Charlotte Hornets,-37.23,history
2019,1,Atlanta Hawks,-12.99,history
2019,2,Boston Celtics,-43.8,history
2019,3,New Orleans Pelicans,-24.17,history
2019,4,Chicago Bulls,27.88,history
2019,5,Cleveland Cavaliers,13.22,history
2019,6,Dallas Mavericks,-2.03,history
2019,7,Denver Nuggets,-1.85,history
2019,8,Detroit Pistons,2.05,history
2019,9,Golden State Warriors,-126.17,history
2019,10,Houston Rockets,47.52,history
2019,11,Indiana Pacers,15.2,history
2019,12,LA Clippers,93.06,history
2019,13,Los Angeles Lakers,88.29,history
2019,14,Miami Heat,-6.46,history
2019,15,Milwaukee Bucks,-45.55,history
2019,16,Minnesota Timberwolves,-21.66,history
2019,17,Brooklyn Nets,82.55,history
2019,18,New York Knicks,9.3,history
2019,19,Orlando Magic,28.55,history
2019,20,Philadelphia 76ers,27.08,history
2019,21,Phoenix Suns,54.58,history
2019,22,Portland Trail Blazers,-30.47,history
2019,23,Sacramento Kings,14.01,history
2019,24,San Antonio Spurs,2.81,history
2019,25,Oklahoma City Thunder,-53.83,history
2019,26,Utah Jazz,-70.69,history
2019,27,Washington Wizards,-9.36,history
2019,28,Toronto Raptors,-42.58,history
2019,29,Memphis Grizzlies,3.1,history
2019,30,Charlotte Hornets,-17.56,history
2020,1,Atlanta Hawks,-2.83,history
2020,2,Boston Celtics,-55.16,history
2020,3,New Orleans Pelicans,18.46,history
2020,4,Chicago Bulls,-16.39,history
2020,5,Cleveland Cavaliers,7.79,history
2020,6,Dallas Mavericks,-23.38,history
2020,7,Denver Nuggets,-11.9,history
2020,8,Detroit Pistons,5.3,history
2020,9,Golden State Warriors,-45.05,history
2020,10,Houston Rockets,-26.24,history
2020,11,Indiana Pacers,-8.97,history
2020,12,LA Clippers,-6.68,history
2020,13,Los Angeles Lakers,-38.45,history
2020,14,Miami Heat,16.39,history
